server,start_time,end_time,start_position,end_position,trip,phase
S1,0.0,0.7142857142857143,0.0,0.7142857142857143,1,outward
S1,0.7142857142857143,1.4285714285714286,0.7142857142857143,0.0,1,inward
S1,1.4285714285714286,2.142857142857143,0.0,0.7142857142857143,2,outward
S1,2.142857142857143,2.857142857142857,0.7142857142857143,0.0,2,inward
S1,2.857142857142857,4.285714285714286,0.0,1.4285714285714286,3,outward
S1,4.285714285714286,5.714285714285714,1.4285714285714286,0.0,3,inward
S1,5.714285714285714,8.571428571428571,0.0,2.857142857142857,4,outward
S1,8.571428571428571,11.428571428571429,2.857142857142857,0.0,4,inward
S1,11.428571428571429,17.142857142857142,0.0,5.714285714285714,5,outward
S1,17.142857142857142,18.57142857142857,5.714285714285714,4.285714285714287,5,inward
S2,0.0,1.0,0.0,1.0,1,outward
S2,1.0,1.2857142857142856,1.0,0.7142857142857143,1,inward
S2,1.2857142857142856,2.571428571428571,0.7142857142857143,2.0,2,outward
S2,2.571428571428571,3.1428571428571423,2.0,1.4285714285714286,2,inward
S2,3.1428571428571423,5.7142857142857135,1.4285714285714286,4.0,3,outward
S2,5.7142857142857135,6.857142857142856,4.0,2.857142857142857,3,inward
S2,6.857142857142856,11.999999999999998,2.857142857142857,8.0,4,outward
S2,11.999999999999998,14.285714285714285,8.0,5.714285714285714,4,inward
S2,14.285714285714285,18.57142857142857,5.714285714285714,10.0,5,outward
