repairpersons,length,max_release,spatial_step,turning_point_offset,tested_pairs,worst_ratio,witness_release,witness_position,witness_completion,paper_claimed_halfline_bound,observed_violation
1,100,100,1,1e-07,11614,3.732050807568877,1,0,3.732050807568877,3.732050807568877,False
2,100,100,1,1e-07,14240,2.1428570928571427,2,1.4285713285714285,4.285714185714285,2.142857142857143,False
3,100,100,1,1e-07,14240,1.9753086419753088,27,0,53.333333333333336,2,False
4,100,100,1,1e-07,16664,1.9814241486068112,19,0,37.64705882352941,2,False
