server,start_time,end_time,start_position,end_position,trip,phase
S1,0.0,0.4166666666666667,0.0,0.4166666666666667,1,outward
S1,0.4166666666666667,0.8333333333333334,0.4166666666666667,0.0,1,inward
S1,0.8333333333333334,1.25,0.0,0.4166666666666667,2,outward
S1,1.25,1.6666666666666667,0.4166666666666667,0.0,2,inward
S1,1.6666666666666667,2.5,0.0,0.8333333333333334,3,outward
S1,2.5,3.3333333333333335,0.8333333333333334,0.0,3,inward
S1,3.3333333333333335,5.0,0.0,1.6666666666666667,4,outward
S1,5.0,6.666666666666667,1.6666666666666667,0.0,4,inward
S1,6.666666666666667,10.0,0.0,3.3333333333333335,5,outward
S1,10.0,13.333333333333334,3.3333333333333335,0.0,5,inward
S1,13.333333333333334,14.999999999999996,0.0,1.6666666666666627,6,outward
S2,0.0,0.8333333333333334,0.0,0.8333333333333334,1,outward
S2,0.8333333333333334,1.25,0.8333333333333334,0.4166666666666667,1,inward
S2,1.25,2.5,0.4166666666666667,1.6666666666666667,2,outward
S2,2.5,3.3333333333333335,1.6666666666666667,0.8333333333333334,2,inward
S2,3.3333333333333335,5.833333333333334,0.8333333333333334,3.3333333333333335,3,outward
S2,5.833333333333334,7.500000000000001,3.3333333333333335,1.6666666666666667,3,inward
S2,7.500000000000001,12.5,1.6666666666666667,6.666666666666667,4,outward
S2,12.5,14.999999999999996,6.666666666666667,4.166666666666671,4,inward
S3,0.0,1.0,0.0,1.0,1,outward
S3,1.0,1.1666666666666665,1.0,0.8333333333333334,1,inward
S3,1.1666666666666665,2.333333333333333,0.8333333333333334,2.0,2,outward
S3,2.333333333333333,2.666666666666666,2.0,1.6666666666666667,2,inward
S3,2.666666666666666,4.999999999999999,1.6666666666666667,4.0,3,outward
S3,4.999999999999999,5.666666666666666,4.0,3.3333333333333335,3,inward
S3,5.666666666666666,10.333333333333332,3.3333333333333335,8.0,4,outward
S3,10.333333333333332,11.666666666666664,8.0,6.666666666666667,4,inward
S3,11.666666666666664,14.999999999999996,6.666666666666667,10.0,5,outward
