repairpersons,corresponding_even_full_line_k,trials,paper_claimed_halfline_bound,online_over_lower_bound_mean,online_over_lower_bound_std,empirical_ratio_to_optimum_mean,empirical_ratio_to_optimum_std,mean_completion_time_mean,mean_completion_time_std,mean_flow_time_mean,mean_flow_time_std,worst_observed_request_ratio,observed_bound_violations
1,2,10,3.732050807568877,2.249037648444162,0.08793276620882355,,,146.81987565019705,9.228537114374564,98.10487565019704,8.29599873430774,3.7242228955854673,0
2,4,10,2.142857142857143,1.5954272456414111,0.03729679082568094,,,104.09143606493265,4.285157889850636,55.37643606493265,4.222122133772126,2.1323309677742275,0
3,6,10,2,1.35597055591177,0.01953247751287766,,,88.48533259816762,3.705646301706835,39.77033259816761,3.2070777836778825,1.9735645363968748,0
4,8,10,2,1.2819436921224099,0.014959992090913218,,,83.6617917175378,3.603648290688759,34.94679171753779,2.4343704707306744,1.8979249567628598,0
5,10,10,2,1.224515829388085,0.010623483699036667,,,79.91214646312227,3.3340058261136565,31.197146463122266,2.200553780161343,1.8667763390729866,0
