trial,seed,pattern,arrival_horizon,domain,length,repairpersons,corresponding_even_full_line_k,requests,total_completion_time,mean_completion_time,total_flow_time,mean_flow_time,max_flow_time,makespan,total_distance_until_last_completion,sum_individual_lower_bounds,online_over_lower_bound,max_request_over_lower_bound,mean_request_over_lower_bound,zero_lower_bound_requests,paper_claimed_halfline_bound,paper_bound_check_applicable,observed_bound_violation,computed_trajectory_legs,offline_status,offline_optimum,empirical_ratio_to_optimum
0,7,uniform,100,"[0, length]",100.0,1,2,8,1240.4314047673195,155.05392559591493,1009.4314047673193,126.17892559591492,277.9652515381673,288.7813812847634,288.7813812847634,481.5467105695913,2.575931633506729,3.3621200263493725,2.3354190125742114,0,3.732050807568877,True,False,10,exact (floating-point arithmetic),610.1882661316644,2.0328666964232696
0,7,uniform,100,"[0, length]",100.0,2,4,8,847.542804053998,105.94285050674975,616.542804053998,77.06785050674975,156.54183488573878,167.35796463233487,334.71592926466974,481.5467105695913,1.7600427652210373,2.1148807073086964,1.69746685379627,0,2.142857142857143,True,False,33,exact (floating-point arithmetic),493.9360953526567,1.7158956634843134
0,7,uniform,100,"[0, length]",100.0,3,6,8,683.2088568831458,85.40110711039323,452.2088568831458,56.52610711039323,126.30373964764354,137.11986939423963,411.3596081827189,481.5467105695913,1.418780030861432,1.650347079263406,1.3654840418588663,0,2,True,False,50,exact (floating-point arithmetic),483.8684460597793,1.4119723293523858
0,7,uniform,100,"[0, length]",100.0,4,8,8,641.1562494321494,80.14453117901867,410.1562494321494,51.26953117901868,113.85275925548669,124.6688890020828,498.6755560083312,481.5467105695913,1.3314518308592866,1.5572786719305305,1.3393247405175306,0,2,True,False,71,exact (floating-point arithmetic),481.54671056959126,1.3314518308592869
1,8,uniform,100,"[0, length]",100.0,1,2,8,890.4509188489204,111.30636485611505,435.45091884892037,54.431364856115046,108.96547233867926,190.96547233867926,190.96547233867926,470.78528575119304,1.8914162056447914,3.100733721555081,1.9661670822919879,0,3.732050807568877,True,False,10,exact (floating-point arithmetic),640.0544330821108,1.391211235833573
1,8,uniform,100,"[0, length]",100.0,2,4,8,599.3323471964495,74.91654339955619,144.3323471964495,18.041543399556186,44.04118725828455,95.80641716679258,191.61283433358517,470.78528575119304,1.2730481715037985,1.9718910937971705,1.3600049622713692,0,2.142857142857143,True,False,32,exact (floating-point arithmetic),481.7845350618004,1.2439841953822175
1,8,uniform,100,"[0, length]",100.0,3,6,8,583.0766557200072,72.8845819650009,128.07665572000718,16.009581965000898,29.041187258284552,103.63729378148882,310.91188134446645,470.78528575119304,1.2385192854735045,1.5669364713816827,1.2774221265238352,0,2,True,False,50,exact (floating-point arithmetic),470.7852857511931,1.2385192854735043
1,8,uniform,100,"[0, length]",100.0,4,8,8,673.2853646363424,84.1606705795428,218.2853646363423,27.28567057954279,65.5588624089398,147.5588624089398,572.5589401679958,470.78528575119304,1.4301325572697896,1.7994983220602414,1.3820259764019613,0,2,True,False,69,exact (floating-point arithmetic),470.78528575119304,1.4301325572697896
2,9,uniform,100,"[0, length]",100.0,1,2,8,1175.5076255014835,146.93845318768544,648.5076255014834,81.06345318768543,217.63343193622495,287.63343193622495,287.63343193622495,552.96011003104,2.1258452538927215,3.0717404227784453,1.9762417765414395,0,3.732050807568877,True,False,10,exact (floating-point arithmetic),791.8478184812889,1.4845120464637114
2,9,uniform,100,"[0, length]",100.0,2,4,8,737.77794603749,92.22224325468625,210.77794603748995,26.347243254686244,96.2100152837964,166.2100152837964,332.4200305675928,552.96011003104,1.334233577890592,1.7750162739464248,1.3647240629607293,0,2.142857142857143,True,False,33,exact (floating-point arithmetic),588.6618741029745,1.2533136228021295
2,9,uniform,100,"[0, length]",100.0,3,6,8,694.763570962138,86.84544637026725,167.763570962138,20.97044637026725,65.97192004570115,135.97192004570115,407.91576013710346,552.96011003104,1.2564442865926404,1.4520928264687476,1.247072297145333,0,2,True,False,50,exact (floating-point arithmetic),553.4061811714088,1.2554315340163251
2,9,uniform,100,"[0, length]",100.0,4,8,8,758.9445961767578,94.86807452209473,231.9445961767579,28.993074522094737,63.94472988600532,149.94472988600532,579.7165425991924,552.96011003104,1.3725123791192733,1.7435433707675037,1.3372497772933054,0,2,True,False,69,exact (floating-point arithmetic),552.9601100310399,1.3725123791192735
3,10,uniform,100,"[0, length]",100.0,1,2,8,1392.2455704570177,174.03069630712722,947.2455704570177,118.40569630712722,214.35373247720167,293.6505444778026,293.6505444778026,538.3395732805774,2.586184704893305,3.355481620667223,2.404128386997428,0,3.732050807568877,True,False,10,exact (floating-point arithmetic),826.1111574425564,1.6853005287654979
3,10,uniform,100,"[0, length]",100.0,2,4,8,886.4181533208691,110.80226916510864,441.41815332086907,55.17726916510863,92.93031582477312,172.22712782537405,344.4542556507481,538.3395732805774,1.646578102960446,1.8811608678999179,1.6220345961212952,0,2.142857142857143,True,False,33,exact (floating-point arithmetic),545.9740618600088,1.6235535994165093
3,10,uniform,100,"[0, length]",100.0,3,6,8,758.3431411074565,94.79289263843206,313.3431411074566,39.16789263843207,69.06693596399245,141.9890325872788,425.96709776183644,538.3395732805774,1.408670621195844,1.5140105062749518,1.3883162569430711,0,2,True,False,51,exact (floating-point arithmetic),539.5923220869029,1.405400169844009
3,10,uniform,100,"[0, length]",100.0,4,8,8,677.136847049549,84.64210588119363,232.13684704954898,29.017105881193622,62.890465375757174,129.53805219512196,518.1522087804879,538.3395732805774,1.2578247646242269,1.3628309456058485,1.246885766729433,0,2,True,False,71,exact (floating-point arithmetic),538.3395732805774,1.2578247646242269
4,11,uniform,100,"[0, length]",100.0,1,2,8,1232.3775109717408,154.0471888714676,814.3775109717408,101.7971888714676,223.5690737488493,280.5690737488493,280.5690737488493,502.0357946431131,2.4547602464238882,3.4464123979728787,2.2210101047812336,0,3.732050807568877,True,False,10,exact (floating-point arithmetic),611.6458770866893,2.014854603192354
4,11,uniform,100,"[0, length]",100.0,2,4,8,818.8659136744092,102.35823920930115,400.8659136744092,50.10823920930115,102.1456570964207,159.1456570964207,318.2913141928414,502.0357946431131,1.63109069594634,1.9151771140664955,1.6451701809808872,0,2.142857142857143,True,False,33,exact (floating-point arithmetic),505.43477527941684,1.6201218311931938
4,11,uniform,100,"[0, length]",100.0,3,6,8,662.0435467419829,82.75544334274787,244.04354674198294,30.505443342747867,71.90756185832547,128.90756185832547,386.72268557497637,502.0357946431131,1.318717816152165,1.5338533165387889,1.3052479542097977,0,2,True,False,51,exact (floating-point arithmetic),502.03579464311315,1.3187178161521649
4,11,uniform,100,"[0, length]",100.0,4,8,8,632.9166801256212,79.11458501570264,214.9166801256212,26.86458501570265,59.456581466168615,116.45658146616861,465.82632586467446,502.0357946431131,1.2607003063906004,1.3768376352038512,1.2319810843440704,0,2,True,False,71,exact (floating-point arithmetic),502.0357946431131,1.2607003063906004
5,12,uniform,100,"[0, length]",100.0,1,2,8,1165.5443417498316,145.69304271872895,690.5443417498315,86.31804271872893,193.0296504473655,280.4292993977923,280.4292993977923,523.2369884599555,2.227564884471147,3.3540201274068964,2.1697901051533575,0,3.732050807568877,True,False,10,exact (floating-point arithmetic),638.7831131567905,1.824632363854845
5,12,uniform,100,"[0, length]",100.0,2,4,8,863.384364335204,107.9230455419005,388.384364335204,48.5480455419005,72.21247568391237,159.00588274536378,318.01176549072756,523.2369884599555,1.6500828178764753,2.0777981445360054,1.6640313864130691,0,2.142857142857143,True,False,32,exact (floating-point arithmetic),534.76078117967,1.6145244653704747
5,12,uniform,100,"[0, length]",100.0,3,6,8,732.3235022501682,91.54043778127102,257.3235022501682,32.165437781271024,47.81900477533479,128.76778750726854,386.30336252180564,523.2369884599555,1.3996019364105308,1.6264832902360764,1.4137390721939591,0,2,True,False,50,exact (floating-point arithmetic),523.2369884599555,1.3996019364105308
5,12,uniform,100,"[0, length]",100.0,4,8,8,666.7289021503302,83.34111276879128,191.72890215033016,23.96611276879127,41.642534187099514,116.31680711511169,465.26722846044674,523.2369884599555,1.2742388570668806,1.4406477619949296,1.2801381256613358,0,2,True,False,69,exact (floating-point arithmetic),523.2369884599555,1.2742388570668806
6,13,uniform,100,"[0, length]",100.0,1,2,8,1237.841490146161,154.73018626827013,795.841490146161,99.48018626827013,210.5739056099095,278.5739056099095,278.5739056099095,536.8757498402072,2.3056386706134253,3.293650985697733,2.190321491754608,0,3.732050807568877,True,False,10,exact (floating-point arithmetic),710.1374430162616,1.743101285982769
