repairpersons,corresponding_even_full_line_k,trials,paper_claimed_halfline_bound,online_over_lower_bound_mean,online_over_lower_bound_std,empirical_ratio_to_optimum_mean,empirical_ratio_to_optimum_std,mean_completion_time_mean,mean_completion_time_std,mean_flow_time_mean,mean_flow_time_std,worst_observed_request_ratio,observed_bound_violations
1,2,10,3.732050807568877,2.2428779710590288,0.2462404134274047,1.7185779300996744,0.23181628166813809,140.11932192133577,22.91435444874134,88.65682192133576,23.23150451418846,3.4464123979728787,0
2,4,10,2.142857142857143,1.5727901360700458,0.1518500177243855,1.5417443300538234,0.16254995979819678,97.78032309272848,12.097216830346671,46.31782309272848,16.448655658673946,2.1322352300457954,0
3,6,10,2,1.3488604417788865,0.06793934495936721,1.3472438182245414,0.06662938716824517,83.96932480120208,8.88159063239023,32.50682480120208,11.496377027086403,1.8610755749415098,0
4,8,10,2,1.313167005652625,0.05816528746428542,1.313167005652625,0.058165287464285446,81.6183605670911,6.990460123593597,30.155860567091107,7.842397810611225,1.7994983220602414,0
